Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
,,,,,,,
5.31,0.81,abandon,abandonar,8,865,28,0.97
5.95,0.49,abstract,abstracto,9,803,33,0.97
5.52,0.71,academy,academia,7,839,28,0.97
5.55,0.94,access,acceso,6,792,31,0.94
4.79,1.03,accommodate,acomodar,3,951,28,0.97
4.67,1.00,accompany,acompañar,3,875,25,0.96
5.14,0.87,accumulate,acumular,3,765,25,1.00
3.64,1.23,acquire,adquirir,2,806,25,0.89
5.55,0.67,adapt,adaptar,6,893,26,0.93
4.74,1.04,adequate,adecuado,4,926,25,0.96
4.81,1.15,adjacent,adyacente,3,926,22,0.71
4.57,1.17,adjust,ajustar,2,797,30,0.97
5.33,0.95, administrate,administrar,11,766,35,1.00
6.02,0.41,adult,adulto,6,884,27,0.96
2.50,1.44,advocate,abogar,2,1266,11,0.35
5.12,0.97,affect,afectar,3,901,26,0.96
4.41,1.11,aggregate,agregado,3,837,29,1.00
1.86,1.07,aid,ayuda,2,1098,12,0.39
5.14,0.87,alter,alterar,6,842,30,1.00
5.71,0.89, alternative,alternativo,11,808,32,0.97
4.95,1.06,ambiguous,ambiguo,8,820,34,1.00
3.31,1.26,amend,enmendar,1,1214,14,0.56
5.33,0.87,analogy,analogía,7,773,23,0.92
4.76,1.19,analyze,analizar,5,752,21,1.00
5.79,1.30,annual,anual,3,963,33,0.97
5.33,0.75,anticipate,anticipar,9,785,27,1.00
5.50,0.89,apparent,aparente,3,866,20,0.87
4.31,0.75,appreciate,apreciar,3,846,33,0.97
4.26,1.19,appropriate,apropiado,3,800,27,1.00
5.19,0.77,approximate,aproximar,3,771,25,0.96
5.02,0.98,arbitrary,arbitrario,9,831,28,0.97
6.88,0.33,area,área,5,853,28,1.00
5.86,0.90,aspect,aspecto,7,742,24,0.92
3.60,1.19,assemble,ensamblar ,1,1057,25,0.86
4.55,0.92,assign,asignar,3,858,25,0.93
5.17,1.03,assist,asistir,3,787,37,0.97
4.67,1.22,assume,asumir,3,913,28,0.90
2.95,1.36,assure,asegurar,3,876,24,0.83
