Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	DE_WR_B1_33_10_14_JR	2018	38 / 60	63.3	B1 (lower intermediate)	Female	33	Universität Bremen	English-Speaking Cultures, Philosophie	2	German	German	German	German	10	10	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Written	14	14. Chaplin	written_online	40	Outside classroom	Monolingual dictionary (Spanish)	Charlie Chaplin is walking down a street with quite shabby looking houses when he suddenly got hit by some trash that seemed to be thrown out of a window (which is not visible to the audience in the screen ) and should have fallen into the waste can next to Chaplin. <br/>  <br/> Chaplin lights another cigarette, throws his gloves into the trash and looks to the other side where he finds a baby covered in a blanket lying on the Floor. He looks up to the window from where the trash was thrown out and picks the baby up.  <br/>  <br/> Right behind him arrives a woman with a Buggy. She seems to look for something.Chaplin tries to get her attention, while she is returning from entering a house entrance he sets the baby into the buggy to the other kid. The woman is furious and tells him after Chaplin wants to leave her with both kids in the buggy to take the kid back and he eventually does that and walks away. <br/>  <br/> Chaplin arrives at the spot where he found the baby and put it back while a policeman arrived behind him seriously scanning the Situation. Chaplin turning around and almost stumbling into the policeman returns to the baby, picks it up and walks around the corner and finds an elderly man with a walking stick. Chaplin puts the baby in his arms and fastly walks away after pretending he needs to tie up his shoe. <br/>  <br/> The elderly man quickly walks with the baby around the corner just to find a buggy with another kid inside where he places the baby and disappears. After he is gone the woman from before steps out of the entrance and looks at the buggy, gets annoyed and is likely to look for Charlie Chaplin who encounters again the police man and eventually passes without any reaction. She follows him, hits him with her umbrella and drags him back to the buggy. They argue about the baby when the policeman joints the situation. Finally, Chaplin takes the baby out of the buggy and walks away, so do the others.  <br/>  <br/> Chaplin sits on the sidewalk thinking about putting the baby into a duct but then he rolls back.  <br/> He looks at the baby and finds a note saying that this baby is an orphan and needs love and care.  <br/> He smiles at the baby in his arms, gets up and walks away with it.	
Learners	DE_SP_B1_33_10_14_JR	2018	38 / 60	63.3	B1 (lower intermediate)	Female	33	Universität Bremen	English-Speaking Cultures, Philosophie	2	German	German	German	German	10	10	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Spoken	14	14. Chaplin	spoken_offline_lab	""	""	""	Ok this story is about toch uh Charles Chaplin get in touch with the baby and it starts when he walks down a shabby side road / and people uh threw their trash out of the window and / he was hit by some trash and then he um put on a new cigarette / and he heard a baby screaming and he looked down on the ground where the baby lies / and he picks it up / and uh / when he looks at the baby behind him there’s a woman / uh  carrying a ba=baggy with the baby in it and he uh / turns around and decides that maybe she uh / is the mother of the baby or he could just put it / into it and uh / when he does uh the uh woman cam=came back and si uh told him that it’s not hers and he should pick it up again / then he picks it up and wants to put it back on the ground / and uh / while he does that a police officer’s coming / uh right behind him and looks very / uh strict and uh Charlie Chaplan decides to pick the baby up again and walks away / and he uh / meets an elderly man xxx walking stock and asked him to hold the baby for a moment and uh / the man said yes and then Charlie Chaplin walks away and uh the old man walks / with the baby / along the street and finds the baggy from the woman before / and / he decides to put in the baby and walks away as well and then the woman came back from a shop / and uh she finds the additional baby / and is mad and that happened when Charlie Chaplin crosses her way and she / follows him with her umbrella and is really uh angry / and they start to fight / over the baby and there uh huge discussion when the policemen from before / arrives and Charlie Chapman decides to avoid any more trouble that he picks the baby up again / and / then he walks back to the street sit down and uh other things uh options where he could pick the bae uh put the baby and he decide to uh / look in the hole / but then he uh hhh he decides to take a closer look at the baby and he finds uh / a piece of paper where it said that / eh whoever finds the baby should uh take care of it and love this orphan child and then he decides to / pick it up and take it somewhere else	
Learners	DE_WR_B2_18_16_14_LN	2019	44 / 60	73.3	B2 (upper intermediate)	Female	18	Universität Bremen	English-Speaking Cultures	Englisch und Geschichte auf Lehramt	German	Igbo	German	German, English	3	16	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	French	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	14	14. Chaplin	written_online	6	Outside classroom	""	The clip shows how Charlie Chaplin finds a baby which was dropped behind the trash. He starts to search where the baby belongs to but he can't find the parents. After that, he tries to get rid of the baby, where he is watched by a police officer. At the end, Chaplin finds a short letter in the clothes of the children, in which the parents ask to take care of the orphew. After that, Chaplin decides to take care of the child.	
Learners	DE_SP_B2_18_16_14_LN	2019	44 / 60	73.3	B2 (upper intermediate)	Female	18	Universität Bremen	English-Speaking Cultures	Englisch und Geschichte auf Lehramt	German	Igbo	German	German, English	3	16	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	French	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	14	14. Chaplin	spoken_offline_lab	""	""	""	okay so the uh man in the clip uh was on a walk when he found uh the baby and uh he didn’t know where the baby uh came from so he uh searched for the parents of the baby and he put the baby to uh uh woman uh because he thought the woman left her baby in uh behind the trash and uh the woman uh was angry because it was not her baby so he searched again uh for the own= uh the parents of the baby and uh he did not find the parents and left the baby again where the trash was and uh a police officer came and uh thought he left the baby there so he took the baby again and uh walked around to look for the parents  and then he just uh unwanted to get rid of the baby and uh gave the baby to a man / which put the baby again to the woman I think and uh / after a long time he uh / got the baby again and uh / he / didn’t know what to do because uh he could not find the parents and uh at the end he found a letter of the real parents which uh / said that the new uh / so-called parents should take care of the baby and uh after he wanted to get rid of the baby he just decided to take the baby with him and left.	
Learners	DE_WR_B2_19_10_14_EA	2019	46 / 60	76.7	B2 (upper intermediate)	Female	19	Universität Bremen	Lehramt für Gy/O	Englisch und Politik	German	Turkish	Turkish	German	9	10	No	""	""	0	Cambridge Certificate B2; TOEFL B2	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	Turkish	A2 (upper beginner)	A2 (upper beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	14	14. Chaplin	written_online	30	Outside classroom	Spellchecker	In the beginning of the Chaplin video, Charlie Chaplin walks down a street, while rubbish gets thrown out of the houses above him and hits him. At the end of the street Charlie finds a baby laying on the ground, in the corner. He picks the baby up and turns around. In that moment, he sees a woman with stroller walk by. Charlie immediately walks up to the stroller, thinking it is the woman’s baby. So he puts the baby in it. When she sees the baby, she confronts Charlie with it and tells him to take the baby out since it is not hers. After he took the baby out, he walks back to the corner and wants to put it back. That is when a police officer walks by and notices him. So Charlie takes the baby and walks away. Around the corner he sees an old man walking by. Who he then outwits into holding the child. While the old man is holding the baby, Charlie quickly runs off and hides. So the old man walks down the street, with the baby in his hands, he sees the woman with the stroller and puts the baby in it. After that he runs away. Later, Charlie comes out of his hiding place and walks down this street in the exact moment that the woman notices the foreign child in her stroller. She sees Charlie and runs after him, hits him with her umbrella and tells him to take the baby. He again ist forced to do so, since the police officer was walking by in the same moment. So he sits down at the roadside, contemplating to put the baby in the drain. He does not do it. While he is holding the baby, he suddenly cuts hisself on so piece of paper which was hidden in the baby’s blanket. He takes it out and reads what is written on it. The paper reads: “ Please love and care for this orphan child. “  <br/> Suddenly Charlie gets very emotional and decides to take care of this orphan child.	
Learners	DE_WR_B2_19_11_14_GD	2018	47 / 60	78.3	B2 (upper intermediate)	Female	19	Universität Bremen	B.A./LA	Englisch/Politik	German	German	Turkish	German	8	11	No	""	""	0	""	C1 (lower advanced)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Turkish	A2 (upper beginner)	A2 (upper beginner)	A1 (lower beginner)	A2 (upper beginner)	Written	14	14. Chaplin	written_online	15	Outside classroom	""	In the video the famous actor Charlie Chaplin walks down a alley, while people throw things, such as bricks out of their window and hit him. Afterwards Chaplin lights a cigarette and smokes, until he sees a baby lying on the floor. While he tries to find the parents of the baby, he gets admonished by a woman with a baby buggy and two police officers. Finally, he ends up finding a note in the blanket of the baby, in which the finder of the baby is asked to take care of it. Chaplin takes the baby, walks away and the video ends.	
Learners	DE_WR_B2_19_10_14_LG	2019	46 / 60	76.7	B2 (upper intermediate)	Female	19	Universität Bremen	KMW + ESC	Linguistic	German	German	German	German	9	10	Yes	Australia, New Zealand	2018	10	IELTS B2	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Written	14	14. Chaplin	written_online	10	Inside classroom	""	Chaplin walked through a street, where a lot of violence happens. Suddenly he found a child on the street. In the following he tried to find hie mother but he wasn't successful. During his search for the mother he got in an controversial with a police officer. After Chaplin tired to find the mother of the child he tried to give the child to a man on the Street. The whole set up is looks really dirty and destroyed.	
Learners	DE_WR_B2_19_10_14_AL	2018	47 / 60	78.3	B2 (upper intermediate)	Female	19	Universität Bremen	Bachelor	""	German	German	German	German	10	10	Yes	England	2013	5	Cambridge Certificate	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	B2 (upper intermediate)	4.25 / 6	Spanish	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	14	14. Chaplin	written_online	10	Outside classroom	Bilingual dictionary (German/English)	In the beginning of the sequence Charles Chaplin walks along a street, smoking a cigar and  suddenly finds a little child laying on the ground. He picks it up, sees a lady with a pram walking past and points out to her that she lost something and lays the child in the pram. The lady is not amused and Charles Chaplin brings the baby back to where he found it but a policeman is watching him – so he keeps the child. Under the pretext of having to close his shoes, he gives the baby to a stranger and runs away. The stranger however lays the baby again in the woman’s pram who is in a shop in the meantime and the stranger leaves. Charles Chaplin walks past the pram in the moment when the woman sees the baby in her pram. In this moment the policeman arrives and after a short discussion Charles Chaplin leaves – together with the child. He sits down on a pavement. While considering what to do now, he finds a letter with the beg to care for the baby. Charles Chaplin smiles and walks away carrying the child in his arms.	
Learners	DE_SP_B2_19_10_14_LG	2019	46 / 60	76.7	B2 (upper intermediate)	Female	19	Universität Bremen	KMW + ESC	Linguistic	German	German	German	German	9	10	Yes	Australia, New Zealand	2018	10	IELTS B2	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Spoken	14	14. Chaplin	spoken_offline_lab	10	Inside classroom	""	Hello uh I watched the movie or the short film about Charlie Chaplin and I saw first Charlie Chaplin with his signature look and his shoes and his uh walking stick walking along the street and he uh he was hit by trash thrown through the window but I as a viewer I couldn’t identify who throw this trash and then he is a bit or his uh gesture and his face looks a bit uh yeah annoyed or he is yeah he’s a bit aggressive about this experience and then he lits or he tries to lit a cigarette or yeah a cigarette and uh suddenly he see or he saw uh a baby lying on the street in a corner and uh he looks around and no one is is there and he he takes the baby and uh is still searching for his or her mother probably and I as a viewer I saw a woman walking behind Charlie Chaplin with another baby in a in a / not a wheel chair but uh yeah and she enters uh a shop or a house and Charlie Chaplin turns around and he takes the the probably orphan baby orphan child and puts it to the other baby from the woman and he se= seems to look or he looks really happy about it because he found his or her mother but the woman comes out of the shop and she’s really annoyed and aggressive that Charlie Chaplin uh gave her uh yeah unknown child and he returns or he uh she gives the child back to Charlie Chaplin and he’s confused and uh yeah walks back to the place to the corner where he found the child and he uh wants to hhh uh put it back hhh on the ground but uh a police officer comes across and uh Charlie Chaplin uh stops his action and he yeah tries to walk away and uh hhh doesn’t co= get in a conflict with the police officer after that another person uh enters the story for me was like an old man who walked really slow and Charlie Chaplin like uh / yeah he tries to maybe close his shoes or something like that and / for me it looked like he asked the man could you hold the baby for a second or something but there was no language and the old man takes the baby and Charlie Chaplin runs away hhh and the old man walks really fast so he couldn’t reach Charlie Chaplin or can keep return the baby to him hhh so he walks through the streets of this maybe small city or yeah and he comes across the first baby from the woman in uh in the wagon uh and the old man puts the baby in the wagon because he thinks this baby belongs to the other baby maybe they are siblings or something like that and uh / a minute or a second later Charlie Chaplin or a lot of other people walk across these two babies uh and Charlie Chaplin walks uh by and the woman comes out of the house again or yeah returns to h=her chil her child and the other child and then she h=hits uh hit Charlie Chaplin because she was  so frustrated about Charlie Chaplin because he out of her perspective he tried to return the baby to her twice but she knows it’s not her baby and she thinks it’s his probably so Charlie Chaplin ends with the baby in his arms and he walks like down the streets and uh he sat down and then he found or yeah he looked maybe for but he found a little sheet of paper where I couldn’t read properly but uh there was written like uh please love ‘n’ care for an orphan orphan child so uh in the end he keeps the baby and the last scene is that he walks away with the baby in his arm.	
Learners	DE_SP_B2_19_10_14_AL	2018	47 / 60	78.3	B2 (upper intermediate)	Female	19	Universität Bremen	Bachelor	""	German	German	German	German	10	10	Yes	England	2013	5	Cambridge Certificate	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	B2 (upper intermediate)	4.25 / 6	Spanish	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Spoken	14	14. Chaplin	spoken_offline_lab	""	""	""	it’s a man walking down the street smoking a cigarette suddenly uh he is hit by something which is thrown out of a window uh which makes him stop then he finds uh a baby laying in a corner and he picks it up and uh doesn’t know / which uh whose yeah whose baby it is uh and then he he sees a lady with uh a child and he brings the baby to her and uh in the moment the lady doesn’t look he lays the baby to her kid and in the uh / in the thing where you carry babies around hhh and uh when the when the woman sees it she gets angry and he takes the baby back then he wants to lay it to back in the corner where he found it but a police man comes around and he just well picks it up again and walks away then pretending that he uh needs to close his shoes he gives it to a man and then he runs away but the man uh f= I think he finds him again uh / yeah never mind he has but he gives the baby back to the man / and the uh policeman is basically walking around the streets all the time and uh sees the situation again ‘n’ again with the woman or with the other man or just him carrying the baby doesn’t who= and he doesn’t know what’s going on and in the end the man sits down and finds a letter which is uh yeah which the baby basically carries with it and then he reads the letter and it says that he shall please carry uh care for the baby and uh love the baby and then he walks away with the baby smiling	
