Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	DE_WR_B1_19_11_13_RN	2016	37 / 60	61.7	B1 (lower intermediate)	Female	19	Bremen	BA English-Speaking Cultures: English, Slavonic Studies	1st year undergraduate	German	Russian	Russian	German	10	11	No	""	""	0	""	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	French, Russian, Swedish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	13	13. Frog	written_online	""	Inside classroom	""	One day, there was a boy called John who wanted to have a frog. With his dog Rex he found and catched one. John called him Freddy. John and Rex fall asleep and suddenly Freddy escaped. The next morning, John and Rex realised that Freddy was not with them anymore. They tried to find him. In the forest, beneath stones, in bushes, but they couldn't find Freddy. Then another animal appeared which hit John and Rex so that they fell into a little lake. Afterwards they started to find Freddy again and luckily find him. John and Rex saw the family of Freddy. He had a wonderful family with many kids. John was happy for Freddy even if he understood that Freddy could not stay with him and his dog Rex	
Learners	DE_SP_B1_19_11_13_RN	2016	37 / 60	61.7	B1 (lower intermediate)	Female	19	Bremen	BA English-Speaking Cultures: English, Slavonic Studies	1st year undergraduate	German	Russian	Russian	German	10	11	No	""	""	0	""	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	French, Russian, Swedish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	13	13. Frog	spoken_offline_classroom	""	Inside classroom	""	One day a little boy called John uh with his dog Rex found a frog called Freddy and they took them home / at night uh Rex and John fall asleep and Freddy tried to escape / at the morning John and Rex saw that Freddy escaped and they started to search for them for him uh they went into the forest uh climbed on trees looked underneath stones but they couldn't find him / after a while they uh encountered other animals and they had struggle there John fall down into water afterwards they tried to find Freddy again but they couldn't find him but then they saw him and they saw the whole fam= family of Freddy he had five little children / John and Rex were so happy that they could find Freddy and that they could see that Freddy has a family and a wonderful life even without them.	
Learners	DE_WR_B1_21_12_13_SE	2016	37 / 60	61.7	B1 (lower intermediate)	Female	21	Bremen	Teaching Gym, ESC, Romance Studies: French, English	1st year undergraduate	German	German	German	German	9	12	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	French, Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	Written	13	13. Frog	written_online	""	Inside classroom	""	One day a young boy and his dog stayed up late at night to watch a frog which they kept in a glass. Later, when the boy and the dog are sleeping peacefully, the frog escapes out of the glass. When the two sleepers are awake, they realise that the frog is gone. They get out in the forest and are yelling for the frog. While the boy climbes on a tree for searching the frog there, the dog hits the house of bees what makes them angry. They are searching everywhere, on rocks, under rocks. Suddenly, while the boy is still on the rock, he gets hit by a deer and falls down a small cliff. The dog also falls and both of them are landing in a river. A broken tree that comes by is their help in danger because they catch it and make it out of the river. After all this trouble, they find a small frog familiy where his particular frog is jumping immediately in the boys direction. The boy, with the frog in his hand, and the dog are leaving, waving goodbye to the rest of the frog family.	
Learners	DE_SP_B1_21_12_13_SE	2016	37 / 60	61.7	B1 (lower intermediate)	Female	21	Bremen	Teaching Gym, ESC, Romance Studies: French, English	1st year undergraduate	German	German	German	German	9	12	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	French, Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	Spoken	13	13. Frog	spoken_offline_classroom	""	Inside classroom	""	One day a boy was sitting in his room / uh he was with his little dog and he watched a frog / who was in a glass /later when he went to bed he fall asleep also with his dog and the frog disappeared / then when he woke up and checked if the f= frog would be still there he realized that the frog could escape / so he went out with his dog in the forest to search his frog / it is really difficult and he walks everywhere on a tree / and has some difficulties because of the dog is finding some bees who can be really aggressive / he keeps on searching he climbs on rocks and is yelling for him for his little frog and / finally gets attacked by an / uh wild animal in the forest / but uh makes him fall down / with his dog in a river / where he is saved by a tree where he can save himself with the tree and there finally finds a little family of frogs wh= who have xxx babies and he seems really happy and / has a little frog in his hand goes and says b=- good-by to the frogs.	
Learners	DE_WR_B1_22_11_13_LS	2016	39 / 60	65	B1 (lower intermediate)	Female	22	Bremen	BIPEB: German, English, Maths	1st year undergraduate	German	German	German	German	8	11	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	13	13. Frog	written_online	""	Inside classroom	""	One day a little boy catched a frog in his garten. At night he is sitting in his room and watches the frog. <br/>  While he is sleeping, the frog escapes and jumpes away.  <br/>  The next morning the boy notices that the frog is away. Together with his dog he goes outside in the forest and searches for the frog. <br/>  He is searching for him everywhere. In a big tree, on a big rock... <br/>  Suddenly a deer appears and the boy and his dog fall in a pond. When they finally got out of the pond, they see the frog with his family. The boy decides that the frog should stay with his family and says goodbye to him.	
Learners	DE_WR_B1_22_15_13_LF	2016	37 / 60	61.7	B1 (lower intermediate)	Female	22	Bremen	BA English Speaking Cultures: English	1st year undergraduate	German	German	German	German	7	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	French	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	13	13. Frog	written_online	""	Inside classroom	""	One night, a little boy and his dog watch over a frog they have captured in a glass. But, when they go to sleep, the frog escapes. When they realize it in the next morning, they both are really sad and, hence, decide to go searching for the frog. They go to the woods and hope to find him there. Yet, no matter how loud they call for him, he does not return. So, they climb on trees and look behind stones, but still are not succesfull. When they meet a deer, they get into a fight with it and both fall into a lake.Totally wet, they try to climb out of the lake. Suddenly, they see the frog. But, he is not alone. He is there with his family. Happy to have found their friend again, the boy and the dog decide to let him be with his family and say goodbye.	
Learners	DE_SP_B1_22_15_13_LF	2016	37 / 60	61.7	B1 (lower intermediate)	Female	22	Bremen	BA English Speaking Cultures: English	1st year undergraduate	German	German	German	German	7	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	French	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Spoken	13	13. Frog	spoken_offline_classroom	""	Inside classroom	""	Uh one day a little boy and his dog are watching a frog into who is uh into a glass and when they go to bed the frog escapes and in the morning they both wonder uh where he's been / uh they start searching for the frog uh into the woods climb onto trees uh and behind stones and they even meet other animals and got into a fight with a deer and suddenly they both fell into a a river uh when they climb out of the river they suddenly see the frog again and find out that the frog has a family and they decide to left the frog with his family and go hhh.	
Learners	DE_SP_B1_22_11_13_LS	2016	39 / 60	65	B1 (lower intermediate)	Female	22	Bremen	BIPEB: German, English, Maths	1st year undergraduate	German	German	German	German	8	11	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	13	13. Frog	spoken_offline_classroom	""	Inside classroom	""	One day a little boy named John catched a frog in his garden uh at night he sits with his little dog in the room and looks at it uh in the when he goes to sleep the little frog uh leaves uh the next day John wakes up and sees that the frog is not there anymore he seeks him everywhere he seeks in the forest he seeks him in the trees he seeks him / on a stone hhh and suddenly a / Hirsch appears and uh John falls into the pond uh in the pond when he comes out of the pond he sees his little frog he the frog found his family John is happy that the frog has his family back and goes away and waves.	
Learners	DE_WR_B1_26_13_13_TM	2016	30 / 60	50	B1 (lower intermediate)	Male	26	Bremen	BiPEB: English Speaking Cultures	1st year undergraduate	German	Urdu	Urdu	German	8	13	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3 / 6	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	13	13. Frog	written_online	""	Inside classroom	""	One day Tommy found a frog in the Forest. He brought him home. In the night while he was sleeping, the frog escaped from the glass box in which he was kept. In the morning Tommy found the glass box empty. He ran in the forest and started to look for the frog. He try to find him everywhere, he climped up the tree and climped up a big stone. But didnt find the frog. While he was standing above the stone, a animal came and stepped him in his back. Tommy fell in the river, which was in the center of the forest. When he came out of the water and looked up, he saw the frog sitting with his Family.	
Learners	DE_SP_B1_26_13_13_TM	2016	30 / 60	50	B1 (lower intermediate)	Male	26	Bremen	BiPEB: English Speaking Cultures	1st year undergraduate	German	Urdu	Urdu	German	8	13	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3 / 6	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	13	13. Frog	spoken_offline_classroom	""	Inside classroom	""	One day Tommy found a frog in a forest and brought him home / in the night while Tommy was sleeping the frog escaped from the glass box where he was kept in the morning Tommy found the glass box empty he went to the forest and start to look for the frog he climbed up the tree climbed up a big stone but didn't found the frog anywhere while he was standing on a stone an animal came uh an animal came be= behind his back and Tommy fell into the water / when he was in the water he stand up and saw his uh frog which was uh who was reunited with his family his kids and his wife.	
