Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_WR_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	A man is walking down an unpaved street. Things are being thrown from the windows. The road is cluttered and hazardous. He gets hit with trash, a mixture of dirt and rock, that was thrown from the window of an overhead apartment. He then sighs and smokes a cigarette. Shortly after he sees a baby abandoned on the side of the hazardous street. He quickly picks up the baby, as he turns around he spots a mother with a stroller. He mistakenly thinks that the baby most be hers and puts the baby in the stroller while the mother is in the store. However, when she comes back from the story she becomes very angry and tells him to take the baby back. He does and then tries to return the baby to where he found it. However, he sets the baby down in the sight of a police officer who assumes that the man is abandoning the baby. The man quickly picks the baby up again. Multiple attempts of the man trying to get rid of the baby ensues. The man tries to pass the baby off to another man, who then puts the baby in the same stroller as the woman before. The man who originally has the baby walks past the mother who thinks he has once again set the baby in her stroller. The mother attacks the man who originally had the baby with an umbrella. He claims the baby once again. After walking with the baby for some time, the man sits down with the baby on a curb. For a split second he considers putting the baby into the sewer. He doesn't think he can handle the burden of a baby. However, he finds a note on the baby with a written request that whoever finds the baby loves and cares for it. The note changes his mind completely and he decides to care for the baby.	
Native	EN_WR_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	""	In the film, Chaplin was minding his business when he found a baby in the alley. He didn't know what to do but when he saw a women with a carriage, he thought it was hers and gave it back. It wasn't the women's baby and so he had to take it back. He then tried to put the baby back where he found it but then a police officer showed up so he picked up the baby and kept walking. While walking he saw another man and asked him to hold the baby. He ran away and the man was startled and went looking for him with the baby. The man walked past the same lady from earlier with the carriage and put the baby in it and left. Then Chaplin happened to be walking right past the carriage the the lady came out and she thought that he put the baby in the carriage again. So, he took the baby back because the police officer showed up. Then he sat down with the baby on a curb and thought about putting it in the sewer. While sitting with the baby he read a note that said the baby was an orphan. Finally, he decided to walk away with the baby.	
Native	EN_SP_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so in the video there is a man at the beginning and he walks around pretty carelessly he is walking through a construction zone / and kinda looks like somebody that just doesn't have a clue / uh so he gets hit / by some like scaffolding or something that falls / uh and then / he decides the solution to that is to smoke a cigarette so he goes for that and then he sees a baby / uh that just left in the street and he picks the baby up / uh has it then kinda decides / oo i don't know if this is a good idea so starts looking around sees a stroller thinks maybe / the mom accidentally somehow drop the baby out the stroller so he puts the baby in the stroller / uh the woman comes out of the store the owner of the stroller / and it's not her baby so she freaks out she makes the man take the baby hhh back he grabs her own baby at first and then / grabs the right one / uh so then he goes back just to put the baby back down on the street and a police officer comes so now he is dodging a mom and a police officer so as he picks the baby up uh then he tricks another guy into holding the baby / uh and runs away / uh thinking that he is rid of the baby / and uh I am pretty sure he encounters the police officer again after that and the guy who he's tricked uh puts the baby back in the same stroller / uh of the same mother from before / uh while she is in a different store / so then the original guy that had the baby is just walking about on the street / and uh the mom comes out thinks he's put / the baby in her stroller once again and she just starts / going to town beating him with this umbrella thing / and then he goes to pick the baby back up again the mom calls the police officer from before over / uh to settle the dispute / and so the guy just realizes that he's stuck with this baby uh so he walks with the baby for a little bit / he sits down on the street and for a split second / he is tempted to put the baby uh in the sewer hhh I don't know I but yeah so he is tempted for that but then he finds a note on the baby that says / uh please love and care for this orphan child and / in that moment everything changes like he sees the baby / in a totally different way has a complete change of heart and decides to keep the baby / and so that is the end	
Native	EN_SP_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	15	""	so first / uh Chaplin was walking and getting ready to smoke / when / he saw a baby in the alleyway / the police officer / uh actually he saw a woman uh walking around with a stroller and / he figured it was hers so he walked up to her and the woman / said it wasn't hers after he put it in the carriage and eventually took it back / then he was walking back to put the baby in the alley where he found it but the police officer came by 'n’ he decided that wasn't a good idea / so he walked away with the baby / and then he saw a man walking around 'n' asked the man to hold the baby while he tied his shoe / and / the man uh took the baby and he pretended to tie his shoe and then ran off / uh that made the man very angry so he went to go look for Chaplin / uh while Chaplin was walking away / uh / hhh he ran into the police officer without the baby / but then just decided to walk away while the police officer had no idea what was going on / the man went to go look for Chaplin and eventually found the carriage that we saw from earlier / and put the baby in there and then walked off / uh Chaplin was then walking and eventually walked past the same carriage again but then / the lady came out and figured that he put the baby back in there / and / so he took the baby back uh the police officer came / and he just walked away with the baby / then the / Chaplin was walking / and walked past a curb / 'n' decided to sit down / and even thought about putting the baby in hhh the sewer / but / found a note inside the baby's blanket that said to take him / take care 'n' love the baby / and hhh he found it very heartwarming and so he walked away 'n' probably did that	
Native	EN_WR_20_14_SM	2018	Female	20	Central College	Business Management	Sophomore	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	During this video there was a man just walking around and doing his daily routine. All of a sudden many things started happening to him. Bricks fell down from the building, something was shot at him. He then found a baby lying on the ground. He picked up the baby wondering where it had come from. He later then noticed a lady walking by with a stroller and he put the baby inside her stroller when she wasn't looking. The woman got mad and he took the baby back, because although she was in search of a baby; this was not her baby. He then picked it up and went on his way, and didn't leave the baby because of the cop watching his every move. Later on, the man gave the baby to another older man who put the baby back into the same woman's stroller. The main man happened to walk by and the woman freaked out and got mad again. So he took the baby back and sat down with it. He all of a sudden changed when he saw the note that said to take care of this orphan child. His perspective changed, so when so many things went wrong to him. It was all in goodness because of how much his heart and personality was challenged.	
Native	EN_WR_20_14_AB	2018	Female	20	Central College	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B2 (upper intermediate)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	"This video was about a man who found a orphaned baby next to the dumpster and did not understand what that meant. He Saw a woman with a large stroller and presumed that she had forgotten the baby. This shows that he may not have been able to pick up the social cues. The woman however, upon placement of the orphaned child in her stroller she was upset because she did not want to have to care for another baby. Thus, the man put the baby back where he found it, however, due to his poor luck there was a police man right behind him so man couldn't just place the babe back where he found it and therefore he gave the baby off to someone else. But that man did not want the baby and so the man was stuck with the orphaned baby. He finally sat down to contemplate the other options that he had and realized there was a note in the clothes of the baby. The note read ""please love and care for this orphaned baby."" And he went off to do just that (it is assumed)."	
Native	EN_WR_20_14_CP	2018	Female	20	Central College	Spanish and Sociology	2	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	The video starts with a man out walking and stops to smoke. He is hit on the head by something that falls from above him and proceeds to smoke. He then notices a baby wrapped in blankets left by a wall and some bins. He looks around to see if anyone nearby seems to have lost the child or missing a child. A woman with a baby carriage comes by and appears to be looking for someone and the man assumes the baby belongs to her. He puts the baby in the carriage and she gets mad at him and says the baby is not hers. He continues to try and pass the baby along to others during his walk. The police man sees what he is doing and keeps a close eye on him. Eventually, after several attempts at getting rid of the child, the man sits down with the baby and finds a note saying the child is an orphan and to please love and care for him/her. The man takes the baby with him as he happily walks away.	
Native	EN_WR_20_14_EES	2018	Female	20	Messiah College	Spanish and Politics	3rd	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	2	""	There is a man walking down the street who finds a baby lying on the side of the road. He decided to pick up the baby and find it's mother. When he finds a woman with a baby stroller, he leaves the baby, but the woman becomes angry with him because it is not her baby. After the man takes the baby back, he thinks about leaving the baby where he found it, but a police officer sees him he gives it to another man instead. This other man then leaves the baby in the same baby stroller when the woman is not looking. The first man walks by the baby stroller again and the woman sees him, assuming that he is the one that left the child. She then yells at him and calls the police officer who then makes him take the child back again. The man sits on the side of the road pondering what to do with the baby. It appears that he considers placing it in a sewer drain, but then he finds a note in the baby's blanket that asks him to love and take care of the orphan child. After thinking a little bit more, the man gets up and leaves, seeming having decided to love and care for the child.	
Native	EN_WR_20_14_PM	2018	Male	20	Central College	English and Spanish	Sophomore	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	10	""	Charlie Chaplin was walking through the street when he came upon a small bundle in a corner.  Much to his surprise, inside the bundle was a baby! Charlie then felt responsible to do something with the small child and luckily for him a woman pushing a baby carriage and her child happened to be walking by.  He was caught by the woman trying to abandon the abandoned child in stroller and was still left with the child.  Afterwards he tried to place the baby back where it was originally found, but was seen by a police officer and given the context of  the sight of a man placing a baby on the street Charlie grabbed the baby and continued to try to find him a home.  While walking, he found a man and swindled him into holding the baby and quickly ran away.  Coincidently enough, the man placed the baby in the same carriage that Charlie had earlier.  Later when the woman realized she once again had two babies, she was furious and saw Charlie walking and assumed he had placed the abandoned baby in her stroller again.  In the end after man attempts of trying to abandoned baby, it finally found a home with Charlie after the goofy man with the mustache realized that the child was an orphan.	
Native	EN_WR_20_14_TK	2018	Female	20	Central College	Business Management and Spanish	3rd	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	6	""	Charlie is in an alley messing around with his cigar, trying to throw it away in the trash. While he is doing this, he finds a baby laying on the ground. Charlie doesn't know what to do with the baby. He begins to set the baby back down on the ground, but a policeman walks by and thinks that Charlie is leaving his baby in the street. Charlie holds the baby and finds a mother walking by with a baby carriage. The baby doesn't belong to her, and she yells at Charlie. Charlie takes the baby and walks out of the alley onto a main street. He sees another mother with a carriage and sets the baby in it, trying to leave the baby there. The mother sees this and becomes very angry with Charlie. She begins to hit him with an umbrella and the policeman comes by again. Charlie takes the baby again and sits on the curb. He considers throwing the baby down a manhole. He finds a note tucked in the blankets that explains that the baby needs love and care because it is an orphan baby. Charlie keeps the baby!	
