Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_WR_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	""	In the film, Chaplin was minding his business when he found a baby in the alley. He didn't know what to do but when he saw a women with a carriage, he thought it was hers and gave it back. It wasn't the women's baby and so he had to take it back. He then tried to put the baby back where he found it but then a police officer showed up so he picked up the baby and kept walking. While walking he saw another man and asked him to hold the baby. He ran away and the man was startled and went looking for him with the baby. The man walked past the same lady from earlier with the carriage and put the baby in it and left. Then Chaplin happened to be walking right past the carriage the the lady came out and she thought that he put the baby in the carriage again. So, he took the baby back because the police officer showed up. Then he sat down with the baby on a curb and thought about putting it in the sewer. While sitting with the baby he read a note that said the baby was an orphan. Finally, he decided to walk away with the baby.	
Native	EN_WR_19_14_AM	2017	Female	19	UCLA	""	2nd	English	American English	English	Arabic	English	Yes	Arabic	B1 (lower intermediate)	C1 (lower advanced)	C2 (upper advanced)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	Chaplin finds an abandoned baby on the side of the road. He picks it up, and when a woman with a carriage passes by, he assumes that she had dropped her baby and offers it to her, which makes her angry and he realizes that she has another baby and that this is not hers. Later, a street officer walks by and appears suspicious, so Chaplin picks up the baby as if it is his and walks along so as to let the officer leave. Chaplin finds an old man walking on a cane and gives him the baby and runs. Later, Chaplin sits with the baby and finds a note indicating that the baby is an orphan and needs someone to love and care for it and he decides to do just that.	
Native	EN_WR_19_14_HT	2017	Female	19	UCLA	Communications	Second	English	American English	English	Luxembourgish	English	Yes	Spanish	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	Mandarin Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	14	14. Chaplin	written_online	""	""	Charlie Chaplin stopped to smoke a hand rolled cigarette when he found a baby laying in an alleyway. He tried to give a the baby to those who passed by including a woman pushing her own child in a baby stroller and then an old man with a cane. He even tried to put the baby back in the alley when a police officer saw him, causing him to pick the child back up. He eventually found a letter with the child asking for somebody to please love the orphaned child. He then quit trying to pass her off and walked away with her himself.	
Native	EN_WR_19_14_MK	2016	Female	19	Pitzer College	Psychology	Second	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	""	""	"The scene starts with a man in a round hat walking down the street with a small mustache, a cane, and a cigar. People are throwing things out their windows, like trash. He gets hit by some and is frazzled. He grabs a tin from his pocket and grabs a new cigar and lights it with a match from his coat using the bottom of his shoe. He continues walking and finds a baby on the ground next to some trash cans. He looks around confused and picks up the baby. He sees a lady walk by a little ways down the street pushing a stroller. He runs up to her and puts the baby in the stroller saying ""Pardon me, you dropped something"". The lady gets mad and flails and yells at the man as though it's not her child. He begins to franticly take the child back, first mistakenly grabbing her child and then taking the one he gave her. He walked away and tried to put the baby back where he found it but is being watched by an officer and decides to pick the baby back up and continue walking. He then gives the baby to the first person he sees on the street, an old man with a cane. He places the baby in his arms and then runs. The old man tries to chase after him but then doesn't know what to do. The original man runs back to where he found the baby and hides in a shed nearby, again running into the officer so he then tries to walk away casually. The old man now with the baby comes across an unattended stroller with a child in it, the same one the original man had just tried to put the baby in, and leaves the child in there and bolts. The lady comes out of the store to find the strange baby back in her stroller. The original guy happens to be strolling by at this time and out of anger she grabs her closed umbrella and starts beating him. She forces him to take the baby back so he does. He ends up sitting on the curb with the baby in his lap. He is sitting next to a storm drain that he opens, thinking about putting the baby in there but then closes the grate and continues holding the baby. As he is doing so he pricks his finger on something and finds a note attached to the baby's clothes. He opens it up and it reads ""Please love and care for this orphan child"". As he reads this he smiles, puts the note back not he baby, and stands up to happily walk away with the child."	
Native	EN_WR_19_14_CM	2018	Male	19	Northwestern Universtiy	Economics	Sophomore	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B1 (lower intermediate)	C1 (lower advanced)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	A man dressed in a suit and a top hat walks down a dirty street, smoking a cigar. There appears to be some construction going on because there are pieces of rubble flying down from above him. Some of this rubble lands on him, causing him to lose his cigar at which point he stops, takes out another, and lights it, continuing on his way. Suddenly he sees a baby on the ground, alone, all bundled in blankets. He picks up the baby and looks around to see where it may have come from. He sees a lady with a baby of her own, and he asks her if she forgot something. She is very angry with him, indicating that it is clearly not her baby. The first man then sees another man, who he tricks into holding the baby while he ties his shoe, at which point he immediately runs away. Eventually, the first man ends up with the baby again. He sits down on the side of the road and opens up the baby's blankets, finding a note hidden within. The note asks that the finder of the baby take care of this orphan, at which point it appears that he decides to do exactly that.	
Native	EN_WR_19_14_AT	2017	Female	19	UCLA	Linguistics	2	English	American English	English	English	English	Yes	German	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	9	""	Chaplin is walking along an alleyway and having garbage dropped on his head. He resigns himself to it without protest and lights a cigarette from his tin when he spots a child abandoned in the corner. At first, he glances up, as if to comedically suggest the child was dropped with the trash. Having a conscience but no desire to adopt the child, he attempts to return it to a woman pushing around another infant in a stroller. Unfortunately, she angrily resists this event as the child is not hers. He decides to return the child to the spot where he found it, but a police officer has come up behind him and made it exceedingly awkward to appear to abandon his infant. He ends up passing the kid to a man on the street and running away, but the man somehow manages to deposit the child into the same basket as the woman from before. As Chaplin paces past, she assaults him with an umbrella. To make matters worse for him, the police man returns to the scene, and he is forced to retrieve the displaced infant. Chaplin sits on the edge of the sidewalk, temporarily defeated, and considers dropping the child into the gutter. He shakes his head and checks instead for a note within its blankets that reads, “Please love and care for this orphan child.” An affectionate smile now on his face, Chaplin executes his trademark waddle into the background as the film ends.	
Native	EN_WR_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	A man is walking down an unpaved street. Things are being thrown from the windows. The road is cluttered and hazardous. He gets hit with trash, a mixture of dirt and rock, that was thrown from the window of an overhead apartment. He then sighs and smokes a cigarette. Shortly after he sees a baby abandoned on the side of the hazardous street. He quickly picks up the baby, as he turns around he spots a mother with a stroller. He mistakenly thinks that the baby most be hers and puts the baby in the stroller while the mother is in the store. However, when she comes back from the story she becomes very angry and tells him to take the baby back. He does and then tries to return the baby to where he found it. However, he sets the baby down in the sight of a police officer who assumes that the man is abandoning the baby. The man quickly picks the baby up again. Multiple attempts of the man trying to get rid of the baby ensues. The man tries to pass the baby off to another man, who then puts the baby in the same stroller as the woman before. The man who originally has the baby walks past the mother who thinks he has once again set the baby in her stroller. The mother attacks the man who originally had the baby with an umbrella. He claims the baby once again. After walking with the baby for some time, the man sits down with the baby on a curb. For a split second he considers putting the baby into the sewer. He doesn't think he can handle the burden of a baby. However, he finds a note on the baby with a written request that whoever finds the baby loves and cares for it. The note changes his mind completely and he decides to care for the baby.	
Native	EN_SP_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	15	""	so first / uh Chaplin was walking and getting ready to smoke / when / he saw a baby in the alleyway / the police officer / uh actually he saw a woman uh walking around with a stroller and / he figured it was hers so he walked up to her and the woman / said it wasn't hers after he put it in the carriage and eventually took it back / then he was walking back to put the baby in the alley where he found it but the police officer came by 'n’ he decided that wasn't a good idea / so he walked away with the baby / and then he saw a man walking around 'n' asked the man to hold the baby while he tied his shoe / and / the man uh took the baby and he pretended to tie his shoe and then ran off / uh that made the man very angry so he went to go look for Chaplin / uh while Chaplin was walking away / uh / hhh he ran into the police officer without the baby / but then just decided to walk away while the police officer had no idea what was going on / the man went to go look for Chaplin and eventually found the carriage that we saw from earlier / and put the baby in there and then walked off / uh Chaplin was then walking and eventually walked past the same carriage again but then / the lady came out and figured that he put the baby back in there / and / so he took the baby back uh the police officer came / and he just walked away with the baby / then the / Chaplin was walking / and walked past a curb / 'n' decided to sit down / and even thought about putting the baby in hhh the sewer / but / found a note inside the baby's blanket that said to take him / take care 'n' love the baby / and hhh he found it very heartwarming and so he walked away 'n' probably did that	
Native	EN_SP_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so in the video there is a man at the beginning and he walks around pretty carelessly he is walking through a construction zone / and kinda looks like somebody that just doesn't have a clue / uh so he gets hit / by some like scaffolding or something that falls / uh and then / he decides the solution to that is to smoke a cigarette so he goes for that and then he sees a baby / uh that just left in the street and he picks the baby up / uh has it then kinda decides / oo i don't know if this is a good idea so starts looking around sees a stroller thinks maybe / the mom accidentally somehow drop the baby out the stroller so he puts the baby in the stroller / uh the woman comes out of the store the owner of the stroller / and it's not her baby so she freaks out she makes the man take the baby hhh back he grabs her own baby at first and then / grabs the right one / uh so then he goes back just to put the baby back down on the street and a police officer comes so now he is dodging a mom and a police officer so as he picks the baby up uh then he tricks another guy into holding the baby / uh and runs away / uh thinking that he is rid of the baby / and uh I am pretty sure he encounters the police officer again after that and the guy who he's tricked uh puts the baby back in the same stroller / uh of the same mother from before / uh while she is in a different store / so then the original guy that had the baby is just walking about on the street / and uh the mom comes out thinks he's put / the baby in her stroller once again and she just starts / going to town beating him with this umbrella thing / and then he goes to pick the baby back up again the mom calls the police officer from before over / uh to settle the dispute / and so the guy just realizes that he's stuck with this baby uh so he walks with the baby for a little bit / he sits down on the street and for a split second / he is tempted to put the baby uh in the sewer hhh I don't know I but yeah so he is tempted for that but then he finds a note on the baby that says / uh please love and care for this orphan child and / in that moment everything changes like he sees the baby / in a totally different way has a complete change of heart and decides to keep the baby / and so that is the end	
Native	EN_WR_20_14_AB	2018	Female	20	Central College	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B2 (upper intermediate)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	"This video was about a man who found a orphaned baby next to the dumpster and did not understand what that meant. He Saw a woman with a large stroller and presumed that she had forgotten the baby. This shows that he may not have been able to pick up the social cues. The woman however, upon placement of the orphaned child in her stroller she was upset because she did not want to have to care for another baby. Thus, the man put the baby back where he found it, however, due to his poor luck there was a police man right behind him so man couldn't just place the babe back where he found it and therefore he gave the baby off to someone else. But that man did not want the baby and so the man was stuck with the orphaned baby. He finally sat down to contemplate the other options that he had and realized there was a note in the clothes of the baby. The note read ""please love and care for this orphaned baby."" And he went off to do just that (it is assumed)."	
