Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	ES_WR_A1_19_12_14_AIMF	2017	12 / 60	20	A1 (lower beginner)	Female	19	Universidad de Granada	Grado de Educación Primaria	Segundo curso	Spanish	Spanish	Spanish	Spanish	6	12	Yes	United Kingdom	2017	1.3	""	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	2 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	30	Outside classroom	Monolingual dictionary	Charles Chaplis is a on famous person. He was wearing a suit and a cane. In this  video story, we can see him. He tries to get to rid of a baby, but it is impossible.  <br/> Charles Chaplis is hopeless to get rid of the baby. He tries  to put the baby in the cart of a one mother. He tries leave the baby on the floor but the police come and he picked up the baby again. More late, he tries to leave the baby in the hands of an older man. Finally, he reads a letter and stay with the enchanted baby.	
Learners	ES_SP_A1_19_12_14_AIMF	2017	12 / 60	20	A1 (lower beginner)	Female	19	Universidad de Granada	Grado de Educación Primaria	Segundo curso	Spanish	Spanish	Spanish	Spanish	6	12	Yes	United Kingdom	2017	1.3	""	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	2 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_online	30	Outside classroom	Monolingual dictionary	Charles Charplin is / one famous person / he was wearing a suit and a cane / in this video story we can see him / he tries to get a right / of a baby but it is impossible / Charles Chaplin is hopeless to get right of the baby / he tries to put the baby in the cart of one mother / he tries leave the baby on the floor but the police come and he pick up the baby again / more late he tries to leave the baby in the hands of an older man / finally he read a letter and xxx stay xxx with the baby	
Learners	ES_WR_A1_22_12_14_RLE	2018	14 / 60	23.3	A1 (lower beginner)	Female	22	Universidad de Granada	Ingeniería de la edificación	4º	Spanish	Spanish	Spanish	Spanish	5	12	No	""	""	0	""	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A1 (lower beginner)	1.25 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	25	Outside classroom	Bilingual dictionary (Spanish/English)	Charles Chaplin is walking in the street and he find a baby on the floor. <br/> Chaplin take the baby and he give him to a women with a baby cart with two places, this women give back the baby to chaplin  because he isn't her baby. <br/> Later he leave the baby on the floor street, and scape to the situation. <br/> Another men, find the baby and walking with him until he find the same baby cart and put him inside, while his mom is at the shop. <br/> Shortly after, when the mom leave to the shop, Charles go near of the cart baby and the mom take the baby and give back him to Chaplin. <br/> Finally Chaplin care and love to baby.	
Learners	ES_SP_A1_22_12_14_RLE	2018	14 / 60	23.3	A1 (lower beginner)	Female	22	Universidad de Granada	Ingeniería de la edificación	4º	Spanish	Spanish	Spanish	Spanish	5	12	No	""	""	0	""	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A1 (lower beginner)	1.25 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	25	Outside classroom	Bilingual dictionary (Spanish/English)	uh xxx of the video is that uh Charles / uh find a baby / on the floor / and at the same time / uh see a woman / with a / uh baby cart / with two places / 'n' with one baby / uh / uh / uh Charles / uh / uh put the baby in the another / uh place to the / uh / baby car / 'n' / and the mom of the baby / that that / first baby / that / uh / was / in the baby car / uh / return to / r= return to / to Charles / the the baby that / he / find / uh on the floor / Charles give back the baby / on the floor / 'n' / a policeman / see / uh this / hhh Charles / uh / take a baby / 'n' / uh / uh / uh / 'n' he / find a man / uh / 'n' Charles / uh give / the baby / to uh this man 'n' he / go run / the this man / uh / fins the same baby car / uh / 'n' this / man / uh / hhh / the ha / the no uh hhh uh baby put put the baby in the car / uh / uh / uh the mother uh uh when / when uh / uh uh / uh / leave / of the of the shop / uh see two babies / 'n' / in this time / Charles uh / is walking for xxx / 'n' / uh the mother / decide / uh / uh give back the this baby to Charles / Charle / finally Charles uh love 'n' care this baby	
Learners	ES_WR_A2_18_15_14_IMF	2020	27 / 60	45	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	1	Spanish	Spanish	Spanish	Spanish	3	15	No	""	""	0	B1 ESCUELA OFICIAL DE IDIOMAS	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	2.5 / 6	French	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	Written	14	14. Chaplin	written_online	30	Outside classroom	Bilingual dictionary (Spanish/English)	This video is starring Charles Chaplin. First, he is walking down the street with some misfortunes when he finds a baby in the trash. After, he sees a baby cart with a lady, so he think that the baby is hers and Charles places the baby in the baby cart. Nevertheless, the baby isn't hers, so she attack to Charles. Moreover, Chaplin tries to trick a man to give him the baby, but this man returns the baby to the baby cart. When Chaplin thinks that he has got to return the baby, the lady accuse him of gives hers the baby with a police. Finally, Charles sees a little letter inside the baby where it says please take care of my son, so he decides to care the baby.	
Learners	ES_WR_A2_18_13_14_MDJ	2020	26 / 60	43.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	1º de carrera	Spanish	Spanish	Spanish	Spanish	5	13	No	""	""	0	B1 Cambridge	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	Outside classroom	""	In this black and white video of Chaplin, Firstly,  we can see Chapin walking and smoking quietly, until a pot falls over him, he lights a new cigarette and and tries to continue on his way, when he sees an abandoned baby on the ground. Quickly picks up the baby and hands it to a woman who was passing. The angry woman denies that the baby is hers and makes him take it back. Later, while he is trying to leave the child where he had found it, a policeman arrives and concealingly picks up the child again and runs to a man, to whom he gives it while touching his shoes and running away. Caplin hides and the man leaves the baby in a cart. Then Caplin goes through the cart and the angry woman again yells at him to take the child away. Because of the police return Caplin takes the child and not knowing what to do with him, he sits down and finds a note from the baby's mother between the blankets. Finally this affects him and he decides to keep the baby.	
Learners	ES_WR_A2_18_3_14_PAMM	2020	23 / 60	38.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	Primer año de carrera	Spanish	Spanish	Spanish	Spanish	15	3	No	""	""	0	""	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	120	Outside classroom	Bilingual dictionary (Spanish/English), Grammar book	Charles Chaplin is walking when he finds an abandoned child, later he thinks it belongs to a woman who was walking her baby in her stroller, however the woman tells him that this child is not hers. As the baby is not the lady's, Chaplin puts it back in its place but a policeman sees it and says that he cannot abandon it.  Then he finds an older man and cheats on him by giving him the child then this older man gives the child to the lady and the lady thinks that it was Charles Chaplin again so he beats him.  In the end, Charles Chaplin gives up and decides to keep the baby when he sees a note from his mother telling him to love him.	
Learners	ES_WR_A2_18_10_14_MFR	2020	29 / 60	48.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	Primero	Spanish	Spanish	Spanish	Spanish	7	10	No	""	""	0	B1	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	25	Outside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	Charles walks along an old street when he finds a baby. He took the baby and places it in a lady’s baby carriage. The lady returns it and she tries to leave him where he found, but when he saw a policeman he gets the baby back and gives it to a homeless. The homeless leaves the baby again in the lady’s baby carriage, at that time passes Charles and and give him the baby again that the homeless limps because the policeman is next to him. Charles leaves with the baby and he realizes   that the baby carries a letter asking that to love the orphaned baby. At the end Charles keeps the baby.	
Learners	ES_SP_A2_18_10_14_MFR	2020	29 / 60	48.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	Primero	Spanish	Spanish	Spanish	Spanish	7	10	No	""	""	0	B1	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab_googlemeet	25	Outside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	Charles is walking down a very poor street when he finds a baby / hhh he take the baby and he place in a lady's baby carriage who was with another baby / hhh the lady returns the baby to Charles and he tries to leave the baby hhh where he found / hhh but when he saw the police / hhh she gets the baby back and gives the baby to a homeless / hhh the homeless leaves the baby again in the lady's baby carriage / hhh and at that moment / Charles was walking around that place and the lady gives the baby back to Charles / hhh Charles takes the baby because there was the police beside him / hhh and he goes with the baby / Charles realise that the baby carries an order where is request love for the orphan baby / hhh at the end Charles keeps the baby	
Learners	ES_SP_A2_18_13_14_MDJ	2020	26 / 60	43.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	1º de carrera	Spanish	Spanish	Spanish	Spanish	5	13	No	""	""	0	B1 Cambridge	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab_googlemeet	15	Outside classroom	""	well / hhh in the video about Chaplin I can see he walking down the street and find a abandonated baby hhh without knowing what to do with the baby hhh he leave it in a baby carriage of a woman hhh when this woman realise this hhh she made him take the baby away / hhh then he decide to leave the baby where he found it / hhh but a policeman arrive / hhh and to avoid problems Chaplin take it with him / hhh he come across hhh a older man hhh to he leave the baby while he tie up his shoelaces and quickly run off / hhh this older man without knowing what to do with the baby too hhh leave it in the baby carriage of the same woman as before / hhh when the woman leave the shop hhh she see two babies in her carriage again / hhh Chaplin unfortunately goes down the street and the very angry woman return the baby to him / finally hhh he sits on the pavement and in this moment he find a note / between the baby xxx hhh this note was from the mother's baby hhh who has abandonated him hhh and for this reason Chaplin end up deciding to keep the children with him	
Learners	ES_SP_A2_18_3_14_PAMM	2020	23 / 60	38.3	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	Primer año de carrera	Spanish	Spanish	Spanish	Spanish	15	3	No	""	""	0	""	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab_googlemeet	120	Outside classroom	Bilingual dictionary (Spanish/English), Grammar book	hhh uh Charles Chaplin hhh was walking and smoking in in the street hhh when he found an abandoned child / uh he hhh uh believed that the baby uh was was from a woman uh xxx was walking with her son / hhh uh however hhh the the woman say him that / hhh that the baby uh was not her / s= so uh Chaplin left the baby on to floor again hhh but a a policeman saw him and told him that he couldn't put the baby down / uh after Chaplin found an older man and gave him the the baby / hhh uh this older man gave the baby uh to the woman for= from before uh again / uh xxx uh gave to= uh gave to baby again to Charles Chaplin hhh and she hit him / uh finally Charles Chaplin hhh gav= gave up and decided to keep the baby when he read a note that say uh please uh love and take care of this orphan child	
Learners	ES_SP_A2_18_15_14_IMF	2020	27 / 60	45	A2 (upper beginner)	Female	18	Universidad de Granada	Turismo	1	Spanish	Spanish	Spanish	Spanish	3	15	No	""	""	0	B1 ESCUELA OFICIAL DE IDIOMAS	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	2.5 / 6	French	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	Spoken	14	14. Chaplin	spoken_offline_lab_googlemeet	30	Outside classroom	Bilingual dictionary (Spanish/English)	well / I'm going to talk about the video / of Charles Chaplin hhh first / the protagonist is walking in the street suddenly trash falls on his head hhh after when he is were smoking a cigar / he finds a baby on the floor hhh in the same times he see to pass a woman with a baby cart / hhh so he think the that baby is hers hhh when she xxx to / this baby hhh the lady shout to Chaplin and she return him hhh next hhh Chaplin return the baby at the same place where he found hhh but the police find to Chaplin so Charles / ch= catch the baby hhh then hhh Chaplin teach to the older man to guide the baby nevertheless the older man put the baby in the previous baby cart hhh but Chaplin mades the mistake by passing in the front of the lady again hhh so she hits an umbrella / hhh furthermore she accuses to Chaplin with a police / finally / he is forced to keep the baby / however Chaplin's find a small letter / hhh where it say that the take care of the baby / hhh so Chaplin decide to adopt the baby that's all hhh	
Learners	ES_WR_A2_20_14_14_SFC	2017	24 / 60	40	A2 (upper beginner)	Female	20	Universidad de Granada	Estudios ingleses	4º	Spanish	Spanish	Spanish	Spanish	7	14	No	""	""	0	B1	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	B1 (lower intermediate)	4.5 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	10	Outside classroom	""	Charlie Chaplin was walking in the street while he found a baby on the ground. He did not know where the baby comes from. He tried to find it but he did not get it. He thought that the solution is giving the baby to a woman, but the woman did not want another one. Secondly, Charlie Chaplin gave the baby to and old man but he did not want him. The old man put the baby in the same place as Charlie Chaplin did: with the woman and her baby. The woman thought that it was Chaplin again and hit him. Charlie Chaplin tries to leave the baby where he found him but a police saw him and he couldn't do it. Finally, he takes care of the baby and finds a paper: the baby is orphan.	
